group,K,seg_group,n_segments,mean_meth,sd_meth,median_meth,q25,q75,block
T1,2,1,1187,0.51271680883924,0.171260518996279,0.515096553065328,0.40022648660015,0.625737047462712,T1_K2
T1,2,2,855,0.910905560074413,0.0192208734375646,0.913933585804296,0.902296360701319,0.920747495728535,T1_K2
T1,3,1,80,0.509939702111388,0.170225475038716,0.507269526737606,0.384734110412046,0.623495511598879,T1_K3
T1,3,2,21,0.860696813782019,0.0804067012591566,0.879305134354615,0.847719802363545,0.900170839969647,T1_K3
T1,3,3,47,0.91401897995446,0.0107926268922539,0.915828038678579,0.909975121903337,0.920534024190479,T1_K3
T2,2,1,1268,0.526669699367171,0.166192950130082,0.528780638992567,0.410511016761017,0.646367715173829,T2_K2
T2,2,2,904,0.898488169751226,0.0197377732590446,0.901601304025299,0.888287075916674,0.909021622775645,T2_K2
T2,3,1,176,0.508049036997376,0.148436737079999,0.509596054767445,0.425032140833251,0.625539391164391,T2_K3
T2,3,2,48,0.871613096888443,0.0390886695435491,0.858705282864686,0.845981703549901,0.883967693594171,T2_K3
T2,3,3,96,0.905244224056057,0.00838784574383465,0.90529619538353,0.898188230240515,0.912182502629065,T2_K3
T2,5,1,5,0.265049186311077,0.038093669896809,0.240165825191618,0.237649118634297,0.300435691088391,T2_K5
T2,5,2,11,0.490371357159428,0.0302314018337333,0.477775200989487,0.470735098038798,0.51761840111592,T2_K5
T2,5,3,9,0.649699096454975,0.0363321118709009,0.662952030321256,0.615554899645809,0.677360881516892,T2_K5
T2,5,5,22,0.895743102267672,0.0247123131035599,0.893181061695044,0.881395131926252,0.905486911229145,T2_K5
