chromosome,T1_segments,T2_segments,Weighted_segments,ABC_matches
NC_059442.1,53,67,55,40
NC_059443.1,199,213,213,181
NC_059444.1,276,276,282,257
NC_059445.1,61,59,59,55
NC_059446.1,54,62,64,42
NC_059447.1,33,33,33,25
NC_059448.1,45,45,45,36
NC_059449.1,83,85,85,76
NC_059450.1,44,52,48,38
NC_059451.1,37,37,33,20
NC_059452.1,33,47,39,25
NC_059453.1,59,65,65,55
NC_059454.1,51,53,47,43
NC_059455.1,47,59,57,39
NC_059456.1,47,49,49,43
NC_059457.1,41,39,41,38
NC_059458.1,53,57,53,45
NC_059459.1,99,105,103,86
NC_059460.1,35,39,37,30
NC_059461.1,31,31,31,23
NC_059462.1,23,27,29,19
NC_059463.1,53,45,47,44
NC_059464.1,53,47,51,43
NC_059465.1,19,21,19,14
NC_059466.1,21,23,23,14
NC_059467.1,49,49,47,46
NC_059468.1,23,25,23,18
NC_059469.1,7,9,9,4
NC_059470.1,10,10,10,10
