group,seg_group,n_segments,mean_meth,sd_meth,median_meth,q25,q75
T1,1,24622,0.331168732192826,0.240544515493282,0.320368856209319,0.10198647774614,0.52323869699599
T1,2,27948,0.68575953451717,0.254395230676547,0.846175854718551,0.455186723159819,0.912565588045277
T1,3,14597,0.86045503980569,0.0945339158161889,0.883240616184885,0.836851217947573,0.912695400618996
T1,4,2990,0.887919618745132,0.0716716393011742,0.905610881400775,0.876944162730052,0.920596228904554
T1,5,516,0.882326402672472,0.101517380245088,0.90764853190679,0.883097069893241,0.922152161206204
T1,6,154,0.904960421890108,0.0300562003215923,0.916360741536705,0.898049868469786,0.924759711414927
T1,7,82,0.902755526648796,0.026207338461465,0.910161014751578,0.882031256700202,0.92538266479284
T1,8,54,0.907226045024836,0.0229746744228824,0.907896626184155,0.886090255560925,0.920689973455348
T1,9,46,0.919874800040377,0.00744450881105009,0.918278216802791,0.914245622687577,0.924880287710579
T2,1,29418,0.346822412904866,0.229539309558591,0.349170110192838,0.138126005938506,0.529901807590272
T2,2,30361,0.716480830242005,0.230897126910865,0.85443146817212,0.501878313151931,0.899990524824094
T2,3,14409,0.846973100823031,0.0818357628180567,0.867337260160285,0.816981260214387,0.89793068657162
T2,4,1629,0.872734439383866,0.0857554416997063,0.894792233925451,0.871357921166444,0.908792614547843
T2,5,402,0.871710887822098,0.0970578734713218,0.898803951661792,0.872610426022601,0.912318569596433
T2,6,148,0.888229587530462,0.0310027945329862,0.89709461735154,0.873311758972489,0.908034977656931
T2,7,76,0.894389978654019,0.022276683438321,0.903425689952986,0.88497587671566,0.908148129867712
T2,8,55,0.900645210444852,0.0213801370714617,0.906391877534759,0.89299121672627,0.911328732397962
T2,9,34,0.905426367540131,0.00787838989083204,0.906242531028633,0.897953105870124,0.910983370384373
