sample,n_deviations,net_difference
106_T1,15,18
220_T1,14,10
254_T1,14,16
826_T2,14,3
211_T1,13,19
233_T1,13,4
769_T2,13,3
797_T2,13,3
817_T2,13,7
863_T2,13,21
878_T2,13,16
107_T1,12,10
202_T1,12,15
779_T2,12,6
781_T2,12,5
788_T2,12,13
790_T2,12,14
847_T2,12,10
875_T2,12,-4
161_T1,11,0
164_T1,11,10
195_T1,11,5
196_T1,11,10
225_T1,11,5
232_T1,11,0
272_T1,11,6
762_T2,11,8
763_T2,11,5
786_T2,11,9
79_T1,11,18
861_T2,11,11
147_T1,10,7
182_T1,10,5
207_T1,10,7
244_T1,10,3
245_T1,10,4
249_T1,10,13
268_T1,10,11
746_T2,10,12
766_T2,10,3
778_T2,10,9
807_T2,10,8
815_T2,10,0
850_T2,10,9
139_T1,9,12
176_T1,9,12
199_T1,9,6
266_T1,9,7
281_T1,9,9
740_T2,9,-1
752_T2,9,2
759_T2,9,0
799_T2,9,0
802_T2,9,4
816_T2,9,9
83_T1,9,6
838_T2,9,11
856_T2,9,9
865_T2,9,8
870_T2,9,6
873_T2,9,6
14_T1,8,4
150_T1,8,3
165_T1,8,1
17_T1,8,8
183_T1,8,4
248_T1,8,2
260_T1,8,3
282_T1,8,2
748_T2,8,2
798_T2,8,4
830_T2,8,1
831_T2,8,4
840_T2,8,-1
843_T2,8,0
882_T2,8,7
152_T1,7,4
162_T1,7,8
206_T1,7,9
219_T1,7,2
226_T1,7,12
258_T1,7,8
264_T1,7,9
6_T1,7,9
751_T2,7,5
774_T2,7,-4
810_T2,7,1
857_T2,7,-2
169_T1,6,10
744_T2,6,13
819_T2,6,9
823_T2,6,2
844_T2,6,-5
273_T1,5,3
74_T1,4,-1
